t,stock_SPYUS_o,delta-1,Stochastic (0)-1,Stochastic (1)-1,Stochastic (2)-1,Stochastic (3)-1,Stochastic (4)-1,Stochastic (5)-1,Stochastic (6)-1,Stochastic (7)-1,Stochastic (8)-1,Stochastic (9)-1,Stochastic (10)-1,Stochastic (11)-1,Stochastic (12)-1,Stochastic (13)-1,Stochastic (14)-1,Stochastic (15)-1,Stochastic (16)-1,Stochastic (17)-1,Stochastic (18)-1,Stochastic (19)-1,RSI (0)-1,RSI (1)-1,RSI (2)-1,RSI (3)-1,RSI (4)-1,RSI (5)-1,RSI (6)-1,RSI (7)-1,RSI (8)-1,RSI (9)-1,RSI (10)-1,RSI (11)-1,RSI (12)-1,RSI (13)-1,RSI (14)-1,RSI (15)-1,RSI (16)-1,RSI (17)-1,RSI (18)-1,RSI (19)-1,divide,o
1562349600,1120.885,0.6209569353093229,,0.35124610591903993,0.5818573964724998,0.6856603773585079,0.6981884057971195,,,,,,,,,,,,,,,,0.23624595469256882,0.6533708946115453,0.6579916300927064,0.6198576462907495,0.43232319258504925,0.9774667414898965,,,,,,,,,,,,,,,,1120.885
1562353200,1117.9201,0.4678681079230955,,0.1599481268011933,0.5122539710161744,0.6333358490566274,0.6479492753623435,,,,,,,,,,,,,,,,-0.3121554213704443,0.5780804432941329,0.6038492804239337,0.690052177190456,0.40794705718967417,0.9770667166836162,,,,,,,,,,,,,,,,1117.9201
1562356800,1122.905,0.3037048249075269,0.40517354753211654,0.46531885073583434,0.744666966734338,0.7929751729751873,0.8157028985507373,0.8157028985507373,,,,,,,,,,,,,,,-0.8849006459789666,0.450986817942993,0.5396523408065048,0.6449716133454706,0.45649432744730967,0.9758705440209092,,,,,,,,,,,,,,,,1122.905
1562360400,1126.65,0.13570918162872658,1,0.8047225130890461,0.9337328526782929,0.9466256439610878,0.9549541062802032,0.9549541062802032,,,,,,,,,,,,,,,-0.35455090404695255,0.48150388029862845,0.5789463718291035,0.6678849719120856,0.4857028020663956,0.40512032748065896,,,,,,,,,,,,,,,,1126.65
1562364000,1129.95,-0.028340118111600532,1,1,1,1,1,1,,,,,,,,,,,,,,,0.12503264010907067,0.4778351595793431,0.6651341999696887,0.6678077958051352,0.6263651034320354,0.43367520056280373,,,,,,,,,,,,,,,,1129.95
1562367600,1132.4,-0.1809108507968631,1,1,1,1,1,1,,,,,,,,,,,,,,,0.7982976434501043,0.5009860514801254,0.6950829035001553,0.6913339908829927,0.6565485967773237,0.4974532579864297,0.9760429535665915,,,,,,,,,,,,,,,1132.4
1562371200,1131.59,-0.31520961858927876,1,1,1,1,1,1,,,,,,,,,,,,,,,0.8854516615815167,0.4734482422263273,0.6949073778496171,0.6919857552116702,0.7413978743603542,0.5159711021945039,0.9761084706802543,,,,,,,,,,,,,,,1131.59
1562590800,1124.7,-0.42541146317080347,0.6032480757531733,0.7319712366847122,0.8024087316522397,0.8755397721548102,0.8931949954226435,0.9022346368715088,0.9022346368715088,,,,,,,,,,,,,,1,0.46650976028465263,0.6840808151746469,0.6940425517343098,0.744430714310246,0.5901994608284398,0.9761424160015184,,,,,,,,,,,,,,,1124.7
1562601600,1126.03,-0.5067545493436683,-0.6099757533771422,0.40676300386218034,0.4681922196796551,0.7126760075812106,0.75402201524133,0.7836126629422793,0.7836126629422793,,,,,,,,,,,,,,0.7198498395139816,0.32796721344820234,0.5768422131103932,0.6222413148557591,0.681308774512654,0.5390938890930506,0.47179462831266106,,,,,,,,,,,,,,,1126.03
1562605200,1125.17,-0.55564500906803,,0.0790021161508987,0.0790021161508987,0.4942124616068344,0.5766748797371839,0.664059590316576,0.664059590316576,,,,,,,,,,,,,,0.38978440274231274,0.29120069611306265,0.44212638084631717,0.5813307483731609,0.5951187766186923,0.5704321353989668,0.42453041793269763,,,,,,,,,,,,,,,1125.17
1562608800,1113.31,-0.5698547369586322,,-0.5024926674988333,-0.5024926674988333,0.06749049429659171,0.3023115227649682,0.43458213256484535,0.4519553072625757,,,,,,,,,,,,,,-0.11100846805234099,0.306052028844914,0.2823199082845491,0.4906870319604162,0.5155863006750492,0.5066498925962513,0.3918335210383832,0.9659420379840498,,,,,,,,,,,,,,1113.31
1562612400,1117.45,-0.5487812355161168,,,-0.9405282464026945,-0.2819561551433474,0.09890795040082034,0.2697406340057604,0.2921787709497201,,,,,,,,,,,,,,-0.7125400058190127,0.1084391552356414,0.01916865968720005,0.3225539029250972,0.37101458526155406,0.45182084321348337,0.2993207087123688,0.959555832921364,,,,,,,,,,,,,,1117.45
1562616000,1112.61,-0.4936375789968679,,,,-0.903274369589774,-0.1988483280250093,-0.028786491709898554,0.05828677839850771,0.05828677839850771,,,,,,,,,,,,,,0.015092330235571216,-0.13513250973018487,0.19273901249465086,0.27813231502199276,0.37160862847234344,0.28377530933420014,0.9547724854321618,,,,,,,,,,,,,,1112.61
1562619600,1115.41,-0.40742437220410466,-0.8708884106978108,-0.9169468064069559,-0.9169468064069559,-0.9169468064069559,-0.19850205787772768,-0.026037256562233213,0.0973929236499067,0.0973929236499067,,,,,,,,,,,,,,-0.22149905978147288,-0.24894602942106692,0.062796810238539,0.18278716353533841,0.28113255507635326,0.2064491884148132,0.17166111261599126,,,,,,,,,,,,,,1115.41
1562623200,1116.26,-0.2946220943395019,-0.9139072847681634,-0.9640102827763287,-0.9640102827763287,-0.9640102827763287,-0.39231758074304757,-0.1653173765106115,0.07523277467412282,0.07523277467412282,,,,,,,,,,,,,-0.8976857490864754,-0.2780707374369539,-0.1885386582889157,0.03460289656623594,0.21599118086507918,0.26692602335924454,0.27228868933365,0.18204951568127625,,,,,,,,,,,,,,1116.26
1562626800,1116.45,-0.16067040222833384,-0.24363057324834558,-0.8121415859204897,-0.8121415859204897,-0.8121415859204897,-0.4518377693282484,-0.08624145521268389,0.11969260326609277,0.14674115456238912,,,,,,,,,,,,,-0.88274706867671,-0.515777143275489,-0.13839920342177547,-0.04703661437394291,0.1905150948081793,0.24348321150119334,0.26040481246698244,0.1870125430509899,0.9471868046626475,,,,,,,,,,,,,1116.45
1562630400,1116.35,-0.011390602608344125,1,-0.7488967343335872,-0.7749653945026332,-0.7749653945026332,-0.5136593591905383,-0.06395714775086636,0.1377521613832975,0.1642458100558808,,,,,,,,,,,,,-0.5797665369649798,-0.652618135376747,-0.08817156924171388,-0.12432224461397257,0.1612949721242587,0.22057621829042406,0.3066146712979252,0.1879597229485208,0.9472441812349288,,,,,,,,,,,,,1116.35
1562641200,1115.21,0.14748605137151571,0.5606694560670991,-0.7617458279845366,-0.8164919912991417,-0.8164919912991417,-0.7286413248023736,-0.08884919331989782,0.06560878852611407,0.14469273743018762,0.14469273743018762,,,,,,,,,,,,-0.33301017935041666,-0.7653478854024385,-0.05832546984150311,-0.17116908751603432,0.12086690195071004,0.20627147355006636,0.2983699989520334,0.2253760367314288,0.9472582075525766,,,,,,,,,,,,,1115.21
1562684400,1110.2,0.3105903319387835,,,,,,-0.2902380313608218,-0.10457239627432746,0.02830540037245166,0.02830540037245166,,,,,,,,,,,,0.5087719298247031,-0.7472446730345144,-0.14904389582667965,-0.18802924546762712,0.0902525857332126,0.1996390399187482,0.2915374452960162,0.2190500913127742,0.18494970180697345,,,,,,,,,,,,,1110.2
1562688000,1112.64,0.4729922195897416,,,,,,-0.5669881109087529,-0.3115100316789742,-0.04078212290501593,-0.04078212290501593,,,,,,,,,,,,-0.27957799547846984,-0.7466863033873185,-0.27828719039789984,-0.19904382442403412,0.006476430515324871,0.17934558196218964,0.23066337847595797,0.23829154294819332,0.15621428348506594,,,,,,,,,,,,,1112.64
1562691600,1110.32,0.6301698956635846,,,,,,-0.9258555133079664,-0.4408938377963114,-0.16772334293947921,-0.13184357541898817,,,,,,,,,,,,-0.394553514882808,-0.7333850029063955,-0.49301302253670687,-0.1746418900392236,-0.08554397971084338,0.13910134508284977,0.19307704469541576,0.21294327998737872,0.148541041826306,0.9412130729548767,,,,,,,,,,,,1110.32
1562695200,1115.39,0.7779861500937386,-0.30101010101004033,-0.34716981132068436,-0.8130740140464348,-0.8292201382033321,-0.8292201382033321,-0.8292201382033321,-0.31785601255504914,-0.0680115273775056,-0.03519553072623749,,,,,,,,,,,,-0.8883610451305879,-0.6949678563511252,-0.7025666834423592,-0.20454286375553832,-0.2197422422756472,0.06030198127001207,0.12505856525857917,0.21416915964101513,0.11243923546369916,0.9385401971295964,,,,,,,,,,,,1115.39
1562698800,1118.89,0.9127616417956688,1,0.4389937106918387,-0.5345809601301694,-0.6235603817044911,-0.6235603817044911,-0.6235603817044911,-0.1696890746441142,-0.003763604923184838,0.08119180633148582,0.08119180633148582,,,,,,,,,,,-0.5078236130867311,-0.42138063278998916,-0.6972281449893134,-0.13805234267048094,-0.22400866861451363,0.043779120673403726,0.12964387620943985,0.2209334312223481,0.1606695782768337,0.938629882381032,,,,,,,,,,,,1118.89
1562702400,1121.3862,1.031471418163619,1,1,0.05316799251290183,-0.2594208621256753,-0.2594208621256753,-0.2594208621256753,0.05361609113267085,0.18980101608808275,0.2872662942272055,0.2872662942272055,,,,,,,,,,,-0.12970711297071658,0.03473595029655141,-0.5461414591849196,-0.14474337597780662,-0.1770560038016129,0.057100334919839124,0.156924922696845,0.24249573993970763,0.1816413326239641,0.1528428854314925,,,,,,,,,,,,1121.3862
1562706000,1121.8666,1.1320172142791307,1,1,0.8489824561403863,-0.04630470549520593,-0.04630470549520593,-0.04630470549520593,0.10850180067656101,0.2538495834800141,0.40787337057729767,0.40787337057729767,,,,,,,,,,,0.4470555709151187,0.22976730770099074,-0.3120096644823124,-0.09561003019160741,-0.06148823456941244,0.08289579337110697,0.21889453994889418,0.25979057926927496,0.2646342245043569,0.18994438818804826,,,,,,,,,,,,1121.8666
