t,stock_SPYUS_o,delta-1,Stochastic (0)-1,Stochastic (1)-1,Stochastic (2)-1,Stochastic (3)-1,Stochastic (4)-1,Stochastic (5)-1,Stochastic (6)-1,Stochastic (7)-1,Stochastic (8)-1,Stochastic (9)-1,Stochastic (10)-1,Stochastic (11)-1,Stochastic (12)-1,Stochastic (13)-1,Stochastic (14)-1,Stochastic (15)-1,Stochastic (16)-1,Stochastic (17)-1,Stochastic (18)-1,Stochastic (19)-1,RSI (0)-1,RSI (1)-1,RSI (2)-1,RSI (3)-1,RSI (4)-1,RSI (5)-1,RSI (6)-1,RSI (7)-1,RSI (8)-1,RSI (9)-1,RSI (10)-1,RSI (11)-1,RSI (12)-1,RSI (13)-1,RSI (14)-1,RSI (15)-1,RSI (16)-1,RSI (17)-1,RSI (18)-1,RSI (19)-1,divide,o
1562119200,239.75,0.7591544119867137,1,1,1,1,1,,,,,,,,,,,,,,,,0.7985004686035682,0.16799513886406858,0.1424922381153233,0.029860500754966157,-0.01752259162706271,,,,,,,,,,,,,,,,,239.75
1562122800,240.9,0.6739111572766774,1,1,1,1,1,,,,,,,,,,,,,,,,0.9497742663656907,0.39342080526544176,0.3652710241472783,0.27399402233757986,0.1947138583626482,0.9252293200689841,,,,,,,,,,,,,,,,240.9
1562155200,239,0.5716400637682,0.9633443163097182,0.9650294695481321,0.9650294695481321,0.9650294695481321,0.9650294695481321,,,,,,,,,,,,,,,,1,0.5150184763795533,0.5065290512958689,0.4672233335484295,0.33283390661892676,0.9268017737010763,,,,,,,,,,,,,,,,239
1562158800,240.4,0.4597094008858562,0.9848628192999032,0.9905697445972481,0.9905697445972481,0.9905697445972481,0.9905697445972481,0.9905697445972481,,,,,,,,,,,,,,,0.9647175421209102,0.5496111511114419,0.4859271680926873,0.49201482988286993,0.32599390233945647,0.9245985483423771,,,,,,,,,,,,,,,,240.4
1562162400,240.54,0.34498808256248026,0.92660550458715,0.9764243614931218,0.9764243614931218,0.9764243614931218,0.9764243614931218,0.9764243614931218,,,,,,,,,,,,,,,0.9644710578842299,0.6813437703848673,0.5087560675136353,0.5055133821607842,0.3589882381861844,0.3419012355092843,,,,,,,,,,,,,,,,240.54
1562166000,240.77,0.23332353759090552,1,1,1,1,1,1,,,,,,,,,,,,,,,0.9256173757810147,0.8762511373976352,0.5178777044648231,0.49075324929642083,0.3951393042733409,0.33650592263825785,,,,,,,,,,,,,,,,240.77
1562169600,241.5999,0.12929348050306544,1,1,1,1,1,1,,,,,,,,,,,,,,,0.8751248751248701,0.9228272628921741,0.5241938655265046,0.4983204701901369,0.4179662639071646,0.3449196032983475,0.9239451463018762,,,,,,,,,,,,,,,241.5999
1562173200,240.19,0.03618252291829549,0.7643018283444902,0.9862556180161417,0.986859370864227,0.986859370864227,0.986859370864227,0.986859370864227,,,,,,,,,,,,,,,0.48664243618964065,0.955172951717681,0.5131008911547823,0.50528421112165,0.4683716451601543,0.3411410072564769,0.9240617974002117,,,,,,,,,,,,,,,240.19
1562176800,238.19,-0.04390742796013569,-0.973130408431115,0.8280511386477187,0.8899941618062055,0.8899941618062055,0.8899941618062055,0.8899941618062055,0.8899941618062055,,,,,,,,,,,,,,0.6720478532992065,0.9415844132610718,0.5571819866959544,0.49628587991676,0.5016950752166367,0.34263004384479734,0.9232013790782472,,,,,,,,,,,,,,,238.19
1562180400,237.5,-0.10990015589283075,,0.2489382956105819,0.7360648321097005,0.7360648321097005,0.7360648321097005,0.7360648321097005,0.7360648321097005,,,,,,,,,,,,,,-0.051135002156552756,0.8516675863512935,0.6134945449756566,0.46465738188196326,0.4633466323481925,0.3307362937383862,0.3161214069492464,,,,,,,,,,,,,,,237.5
1562184000,236.1899,-0.16159440273540326,,,0.5858824589496254,0.5858824589496254,0.5858824589496254,0.5858824589496254,0.5858824589496254,,,,,,,,,,,,,,-0.4060081201623845,0.6202734247806767,0.6788319594517691,0.406269328900577,0.38596620381244606,0.308455628158814,0.2619110768192141,,,,,,,,,,,,,,,236.1899
1562187600,234.9,-0.19953410717417341,,,0.4484872876705075,0.46236054507330926,0.46236054507330926,0.46236054507330926,0.46236054507330926,,,,,,,,,,,,,,-0.803775991627071,0.2384472509992397,0.6108725230795218,0.33528819244933294,0.319288391618459,0.26203012109176016,0.2084179883538042,0.8973113554120093,,,,,,,,,,,,,,234.9
1562198400,234.5,-0.22489041496382356,,,0.31984944011279604,0.3497265810523522,0.3497265810523522,0.3497265810523522,0.3497265810523522,,,,,,,,,,,,,,,-0.6227286228693143,0.5557134480146277,0.26227139810937294,0.2712830744980925,0.25086863291299455,0.1573381364505131,0.8894757303100269,,,,,,,,,,,,,,234.5
1562328000,235.37,-0.23933943332966123,,,-0.06455124574893678,0.3189437186854267,0.3189437186854267,0.3189437186854267,0.3189437186854267,0.3189437186854267,,,,,,,,,,,,,,-0.6601016906182584,0.4823686165416321,0.2534203586922332,0.22834678904310612,0.24031615202046863,0.1297664280902926,0.8823869860062878,,,,,,,,,,,,,,235.37
1562331600,235.5,-0.2449234422291795,-0.8312212548699779,-0.9338474853775403,-0.8739309504858066,0.34147051148961705,0.34147051148961705,0.34147051148961705,0.34147051148961705,0.34147051148961705,,,,,,,,,,,,,,-0.7233416240486571,0.4581541376390674,0.3170680446141989,0.22938589635813322,0.23587701691201923,0.13993812368852665,0.1352040170776443,,,,,,,,,,,,,,235.5
1562335200,235.55,-0.24389136862089345,-0.13610303934654677,-0.8180805847882217,-0.8180805847882217,0.3808923988969546,0.3808923988969546,0.3808923988969546,0.3808923988969546,0.3808923988969546,,,,,,,,,,,,,-0.8975234842015414,-0.6711254825009851,0.29898878882426283,0.43803923307914494,0.24468819188973479,0.23147941620575363,0.17283667258554947,0.13986818592041828,,,,,,,,,,,,,,235.55
1562338800,235.25,-0.23852327845801824,0.8545454545454865,-0.8279922877587756,-0.8313110877127117,0.3602953211926261,0.3763870403361169,0.3763870403361169,0.3763870403361169,0.3763870403361169,,,,,,,,,,,,,-0.6232833708147256,-0.7284490562082444,0.054377246414282654,0.46945838968840525,0.2466503472365229,0.23478292908338316,0.18787375764727465,0.1431800110317596,0.8807047832485322,,,,,,,,,,,,,235.25
1562342400,234.8,-0.2309515340603241,0.006060606060703799,-0.8908605579260733,-0.9084890214389147,0.3202460637071938,0.3501057820645619,0.3501057820645619,0.3501057820645619,0.3501057820645619,,,,,,,,,,,,,-0.40964954650349683,-0.8342533111667998,-0.574661619544942,0.4844093139781105,0.22143395340190275,0.23232662318323438,0.21476402437593967,0.12854568050175907,0.8804234608731991,,,,,,,,,,,,,234.8
1562346000,234.373,-0.222996807335619,,,,-0.08491515526744597,0.30591572351367224,0.30591572351367224,0.30591572351367224,0.30591572351367224,0.30591572351367224,,,,,,,,,,,,0.0030700021277745293,-0.8371166688877975,-0.5713751230184755,0.4613551741875732,0.24429769714799665,0.22078859772216086,0.23257196095143562,0.125988419942068,0.8787840896240215,,,,,,,,,,,,,234.373
1562349600,231.97,-0.21603857456801734,,,,,0.18276925618409545,0.18276925618409545,0.18276925618409545,0.18276925618409545,0.18276925618409545,,,,,,,,,,,,-0.09514669591442937,-0.8249977461830892,-0.6321267040387213,0.43132651216218476,0.2996756011328585,0.2173497426134896,0.22398235965263757,0.13212478674852157,0.12785380936632573,,,,,,,,,,,,,231.97
