t,delta-1,Stochastic (0)-1,Stochastic (1)-1,Stochastic (2)-1,Stochastic (3)-1,Stochastic (4)-1,Stochastic (5)-1,Stochastic (6)-1,Stochastic (7)-1,Stochastic (8)-1,Stochastic (9)-1,Stochastic (10)-1,Stochastic (11)-1,Stochastic (12)-1,Stochastic (13)-1,Stochastic (14)-1,Stochastic (15)-1,Stochastic (16)-1,Stochastic (17)-1,Stochastic (18)-1,Stochastic (19)-1,RSI (0)-1,RSI (1)-1,RSI (2)-1,RSI (3)-1,RSI (4)-1,RSI (5)-1,RSI (6)-1,RSI (7)-1,RSI (8)-1,RSI (9)-1,RSI (10)-1,RSI (11)-1,RSI (12)-1,RSI (13)-1,RSI (14)-1,RSI (15)-1,RSI (16)-1,RSI (17)-1,RSI (18)-1,RSI (19)-1,SMA (0)-1,SMA (1)-1,SMA (2)-1,SMA (3)-1,SMA (4)-1,SMA (5)-1,SMA (6)-1,SMA (7)-1,SMA (8)-1,SMA (9)-1,SMA (10)-1,SMA (11)-1,SMA (12)-1,SMA (13)-1,SMA (14)-1,SMA (15)-1,SMA (16)-1,SMA (17)-1,SMA (18)-1,SMA (19)-1,month,day,DoW,hour,o
1562173200,-0.05788700405017977,1,-0.08755760368663201,-0.5147058823529276,,,,,,,,,,,,,,,,,,0.638554216867496,-0.33985330073349695,-0.609261939218515,,,,,,,,,,,,,,,,,,0.0011742495752314504,,,,,,,,,,,,,,,,,,,,0.5,0.0967741935483871,0.42857142857142855,0.5416666666666666,44.23
1562331600,-0.0577564099248562,1,0.878048780487815,-0.1444444444444295,,,,,,,,,,,,,,,,,,0.7000000000000128,-0.41237113402062453,-0.4621099554234678,0.9333262853719559,,,,,,,,,,,,,,,,,0.003481537302185619,,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.375,44.31
1562335200,-0.057801526762133904,0.03759398496237232,0.1688311688311761,-0.361702127659568,,,,,,,,,,,,,,,,,,0.9310344827585681,-0.15710723192020126,-0.3498622589531607,0.9334552616769836,,,,,,,,,,,,,,,,,0.0013521680012089255,,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.4166666666666667,43.84
1562338800,-0.05770295630735944,,,,,,,,,,,,,,,,,,,,,0.37254901960783493,-0.17961165048543526,-0.36388140161724525,0.9291128579449748,,,,,,,,,,,,,,,,,-0.00559065306743778,-0.010271730857055805,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.4583333333333333,43.23
1562342400,-0.05710203361957866,,,,,,,,,,,,,,,,,,,,,-0.32997481108312654,-0.3385518590997938,-0.4537037037036975,-0.6735822959889268,,,,,,,,,,,,,,,,,-0.010891961242388023,-0.01522155413427288,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.5,43.485
1562346000,-0.055630547206519054,,,,,,,,,,,,,,,,,,,,,-0.6188679245282973,-0.44861337683522806,-0.4973375931842344,-0.6134316134316066,,,,,,,,,,,,,,,,,-0.012243173700986881,-0.01657513729405903,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.5416666666666666,43.48
1562349600,-0.05295546945824725,-0.7162471395881073,-0.7524950099800461,-0.7573385518591056,-0.8246110325318285,,,,,,,,,,,,,,,,,-0.8021582733812932,-0.5731707317073182,-0.6419491525423717,-0.6159479251423858,0.8999758061728818,,,,,,,,,,,,,,,,-0.008673997164859568,-0.012832841653576678,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.5833333333333334,43.54
1562353200,-0.04882412919429413,-0.35021097046416716,-0.692614770459092,-0.692614770459092,-0.7551669316375287,,,,,,,,,,,,,,,,,-0.7797513321492056,-0.42937853107345403,-0.5207468879668056,-0.5376260667183832,0.9001896878772198,,,,,,,,,,,,,,,,-0.007007198652167247,-0.011044953285342494,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.625,43.56
1562356800,-0.04309818945868926,1,-0.6526946107784559,-0.6526946107784559,-0.7128712871287263,-0.7880633373934294,,,,,,,,,,,,,,,,-0.7003891050583737,-0.39554317548747153,-0.46868250539956935,-0.5015923566878965,0.9002412961047912,,,,,,,,,,,,,,,,-0.005546199188547854,-0.009620684375717706,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.6666666666666666,43.53
1562590800,-0.03577258649686854,1,-0.6127744510978028,-0.6127744510978028,-0.6798679867986817,-0.7437252311756908,,,,,,,,,,,,,,,,-0.4629629629629838,-0.3897364771151297,-0.3868263473053909,-0.4562289562289572,-0.6350282485875676,,,,,,,,,,,,,,,,-0.004002142638506191,-0.008388812366084967,,,,,,,,,,,,,,,,,,,0.5,0.25806451612903225,0.14285714285714285,0.375,43.59
