t,stock_SPYUS_o,delta-1,Stochastic (0)-1,Stochastic (1)-1,Stochastic (2)-1,Stochastic (3)-1,Stochastic (4)-1,Stochastic (5)-1,Stochastic (6)-1,Stochastic (7)-1,Stochastic (8)-1,Stochastic (9)-1,Stochastic (10)-1,Stochastic (11)-1,Stochastic (12)-1,Stochastic (13)-1,Stochastic (14)-1,Stochastic (15)-1,Stochastic (16)-1,Stochastic (17)-1,Stochastic (18)-1,Stochastic (19)-1,RSI (0)-1,RSI (1)-1,RSI (2)-1,RSI (3)-1,RSI (4)-1,RSI (5)-1,RSI (6)-1,RSI (7)-1,RSI (8)-1,RSI (9)-1,RSI (10)-1,RSI (11)-1,RSI (12)-1,RSI (13)-1,RSI (14)-1,RSI (15)-1,RSI (16)-1,RSI (17)-1,RSI (18)-1,RSI (19)-1,divide,o
1562353200,34.84,-0.005122599351473411,1,0.9538461538461298,0.9591836734693664,0.6744186046511147,,,,,,,,,,,,,,,,,-0.18721461187215382,0.15584415584415412,0.024442082890533623,-0.18443316412860244,0.914635219572296,,,,,,,,,,,,,,,,,34.84
1562356800,34.96,-0.004757429167810301,1,1,1,1,0.13375796178342636,,,,,,,,,,,,,,,,0.13901345291478795,0.19504643962847945,0.08838133068519571,-0.06688963210703425,0.9149197438821155,,,,,,,,,,,,,,,,,34.96
1562590800,34.76,-0.003516907685941817,0.8749999999999942,0.8881987577639701,0.8988764044943769,0.8988764044943769,0.2950191570880978,,,,,,,,,,,,,,,,0.7595628415300606,0.2261904761904754,0.23819095477386387,0.00967741935483346,-0.2155388471177997,,,,,,,,,,,,,,,,,34.76
1562594400,34.82,-0.0014493722473005732,0.6944444444444289,0.8633540372670714,0.8633540372670714,0.876404494382014,0.5534883720929944,,,,,,,,,,,,,,,,0.894117647058819,0.1871345029239757,0.3134328358208893,0.02287581699345731,-0.18806744487678773,,,,,,,,,,,,,,,,,34.82
1562598000,34.45,0.0012645968137334762,,0.22981366459625185,0.22981366459625185,0.3033707865168329,0.26086956521733495,,,,,,,,,,,,,,,,0.8580645161290235,0.06622516556291047,0.3719376391982152,0.0849220103986068,-0.13055555555556164,0.9133321684431239,,,,,,,,,,,,,,,,34.45
1562601600,34.35,0.004324499179965358,,-0.2795031055901017,-0.2795031055901017,-0.1573033707865552,-0.1573033707865552,,,,,,,,,,,,,,,,0.07462686567163668,-0.0878186968838578,0.13122171945701044,0.03556658395367318,-0.13655172413793681,0.9048447421066361,,,,,,,,,,,,,,,,34.35
1562605200,34.37,0.007343695551881524,,-0.8385093167702258,-0.8385093167702258,-0.6629213483146461,-0.6629213483146461,-0.8089171974522538,,,,,,,,,,,,,,,-0.5036496350364931,-0.10555555555556584,-0.013043478260876262,-0.03825136612022706,-0.14829931972790122,0.8980759230369211,,,,,,,,,,,,,,,,34.37
1562608800,34.27,0.009907809392174727,,,,-0.8651685393258919,-0.8651685393258919,-0.9080459770115293,,,,,,,,,,,,,,,,-0.027190332326291422,-0.14876033057851845,-0.04570100697134816,-0.18489583333334036,-0.3382663847780185,,,,,,,,,,,,,,,,34.27
1562612400,34.29,0.011650736621774627,,,,,-0.9325842696629819,-0.9441860465116788,,,,,,,,,,,,,,,,-0.015290519877687925,-0.18637274549098748,-0.015974440894578,-0.1859557867360293,-0.3254310344827641,,,,,,,,,,,,,,,,34.29
1562616000,34.49,0.012331513037267428,-0.6521739130434299,-0.8604651162790508,-0.8604651162790508,-0.8604651162790508,-0.797752808988802,-0.8043478260869988,,,,,,,,,,,,,,,,-0.08860759493672188,-0.304535637149036,0.009836065573761488,-0.15176151761518542,-0.28944381384790807,0.8867924528301883,,,,,,,,,,,,,,,34.49
1562677200,34.7,0.011892637662299421,1,-0.3604651162790693,-0.3604651162790693,-0.3604651162790693,-0.31460674157307433,-0.31460674157307433,,,,,,,,,,,,,,,-0.8032786885245659,-0.3437499999999958,-0.2715789473684238,-0.07092198581560605,-0.10529938059188548,-0.2325855962219644,0.8869093725793953,,,,,,,,,,,,,,,34.7
1562680800,34.89,0.01048611973288871,1,0.4110429447852477,0.33720930232555313,0.33720930232555313,0.3595505617977053,0.3595505617977053,-0.22929936305736065,,,,,,,,,,,,,,-0.11290322580644996,-0.31800766283524695,-0.10743801652893292,-0.034246575342470886,-0.05035971223022284,-0.14318975552969393,0.887326359115074,,,,,,,,,,,,,,,34.89
1562684400,34.56,0.008462529525559148,1,0.5155279503105314,0.4186046511627608,0.4186046511627608,0.438202247190965,0.438202247190965,-0.019157088122653265,,,,,,,,,,,,,,0.6546762589927864,-0.19860627177701362,0.17446808510637357,0.030497592295338105,0.07839388145314596,-0.05622932745315001,-0.21105990783410777,,,,,,,,,,,,,,,34.56
1562688000,34.85,0.006325370714840517,1,1,0.5930232558139352,0.5930232558139352,0.5930232558139352,0.6067415730336778,0.3302325581394914,,,,,,,,,,,,,,0.906249999999986,-0.1438596491228168,0.243956043956032,0.036682615629977766,0.1405835543766487,-0.030100334448168842,-0.1761363636363691,,,,,,,,,,,,,,,34.85
