t,delta-1,Stochastic (0)-1,Stochastic (1)-1,Stochastic (2)-1,Stochastic (3)-1,Stochastic (4)-1,Stochastic (5)-1,Stochastic (6)-1,Stochastic (7)-1,Stochastic (8)-1,Stochastic (9)-1,Stochastic (10)-1,Stochastic (11)-1,Stochastic (12)-1,Stochastic (13)-1,Stochastic (14)-1,Stochastic (15)-1,Stochastic (16)-1,Stochastic (17)-1,Stochastic (18)-1,Stochastic (19)-1,RSI (0)-1,RSI (1)-1,RSI (2)-1,RSI (3)-1,RSI (4)-1,RSI (5)-1,RSI (6)-1,RSI (7)-1,RSI (8)-1,RSI (9)-1,RSI (10)-1,RSI (11)-1,RSI (12)-1,RSI (13)-1,RSI (14)-1,RSI (15)-1,RSI (16)-1,RSI (17)-1,RSI (18)-1,RSI (19)-1,SMA (0)-1,SMA (1)-1,SMA (2)-1,SMA (3)-1,SMA (4)-1,SMA (5)-1,SMA (6)-1,SMA (7)-1,SMA (8)-1,SMA (9)-1,SMA (10)-1,SMA (11)-1,SMA (12)-1,SMA (13)-1,SMA (14)-1,SMA (15)-1,SMA (16)-1,SMA (17)-1,SMA (18)-1,SMA (19)-1,month,day,DoW,hour,o
1562331600,0.06005825766169437,0.7689440993789178,0.895564289724893,0.9080573405833083,,,,,,,,,,,,,,,,,,1,0.85424258198854,0.7409057164068162,0.9909758784677811,,,,,,,,,,,,,,,,,0.004855676787550491,,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.375,297.44
1562335200,0.04166250459826415,-0.6240310077517572,0.529477821448674,0.5535428875866166,,,,,,,,,,,,,,,,,,0.8521462639109896,0.8008088978766525,0.8192397207137379,0.9899513058875606,,,,,,,,,,,,,,,,,0.002309914995127988,,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.4166666666666667,296.7
1562338800,0.02286442591520199,,0.036868973340939304,0.046603032004525646,0.2299319727891378,,,,,,,,,,,,,,,,,0.3153594771242172,0.576106194690287,0.5892725936811365,0.9863681053433933,,,,,,,,,,,,,,,,,-0.0006213934481444785,0.0024819251408944917,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.4583333333333333,296.6
1562342400,0.004409360521947292,,-0.21990585070605562,-0.018528916339079826,0.17732426303858806,,,,,,,,,,,,,,,,,-0.24395604395602444,0.35437262357416,0.34198270126414565,0.1698677974557219,,,,,,,,,,,,,,,,,-0.001427929698467262,0.0018996013251730058,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.5,297.15
1562346000,-0.012930908522946538,-0.5135135135134388,-0.2171673819741753,0.2038180797305693,0.35691609977330363,,,,,,,,,,,,,,,,,-0.5205364626990456,0.320599250936358,0.27342123525331075,0.2430426716141043,,,,,,,,,,,,,,,,,-0.0007521538185407923,0.002647121511263271,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.5416666666666666,297.69
1562349600,-0.028391859134558217,0.983606557377064,0.0672546857773424,0.5249859629422209,0.5818091942659851,,,,,,,,,,,,,,,,,-0.6416289592759685,0.30015432098768424,0.3079973562458924,0.33877336141091074,0.981049017234169,,,,,,,,,,,,,,,,0.00043511373436205857,0.0037455060647132907,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.5833333333333334,298.03
1562353200,-0.04124649772802513,1,0.7155457552371407,0.8551375631668168,0.8625466169419809,,,,,,,,,,,,,,,,,-0.25423728813557633,0.2902973395931254,0.3827838827839005,0.45975232198143856,0.9810787944049488,,,,,,,,,,,,,,,,0.0017001364134444537,0.004853579175705512,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.625,298.62
1562356800,-0.050828518804848954,1,1,1,1,1,,,,,,,,,,,,,,,,0.22906793048973695,0.2714859437751189,0.45150311968237467,0.47492477432298297,0.9811093071218571,,,,,,,,,,,,,,,,0.0021564004871453385,0.005072848348063736,,,,,,,,,,,,,,,,,,,0.5,0.16129032258064516,0.7142857142857143,0.6666666666666666,298.36
1562590800,-0.05655309500406247,0.42857142857146946,0.5526315789474128,0.7265415549598198,0.7715565509518749,0.8153846153846347,,,,,,,,,,,,,,,,0.8804123711340597,0.2231263383297959,0.4961111111111336,0.4733400402414645,0.3082948383209527,,,,,,,,,,,,,,,,0.0009692502153266364,0.0035193346681735393,,,,,,,,,,,,,,,,,,,0.5,0.25806451612903225,0.14285714285714285,0.375,297.01
1562594400,-0.05794597437699167,,-0.3421052631578366,-0.046153846153803024,0.31466965285558635,0.44615384615387366,,,,,,,,,,,,,,,,0.6344086021505673,0.03767864876573945,0.41310089804546,0.37418709354679325,0.33237880957252,,,,,,,,,,,,,,,,-0.0009753909972532777,0.0009504456527837586,,,,,,,,,,,,,,,,,,,0.5,0.25806451612903225,0.14285714285714285,0.4166666666666667,296.58
1562598000,-0.05468944667501319,,,,-0.05263157894731818,0.07297830374756664,,,,,,,,,,,,,,,,0.07692307692308509,-0.24969148498557492,0.22460438999491839,0.23759191176472494,0.2710243902439149,0.9744998852822604,,,,,,,,,,,,,,,-0.0023463737349913084,-0.0010982129819946684,,,,,,,,,,,,,,,,,,,0.5,0.25806451612903225,0.14285714285714285,0.4583333333333333,296.72
1562601600,-0.04668409375119609,,,,-0.1265397536393733,-0.069075451647155,,,,,,,,,,,,,,,,-0.374269005847932,-0.3158289572392917,0.05861365953109887,0.15977605512490833,0.24218154080855658,0.9709683400041442,,,,,,,,,,,,,,,-0.0023910649677521315,-0.0016716667790284286,,,,,,,,,,,,,,,,,,,0.5,0.25806451612903225,0.14285714285714285,0.5,296.68
1562605200,-0.0341127550985334,-0.9950124688279348,-0.9960238568588505,-0.9960238568588505,-0.13574660633478786,-0.1243001119820406,0.09140271493214858,,,,,,,,,,,,,,,-0.7649122807017329,-0.24189526184537624,-0.053994490358115765,0.15430775825119136,0.1992979719188881,0.97025925037612,,,,,,,,,,,,,,,-0.0022955314104654203,-0.0018800773042391768,0.0003290299141940168,,,,,,,,,,,,,,,,,,0.5,0.25806451612903225,0.14285714285714285,0.5416666666666666,296.59
1562608800,-0.017484021924531135,,,,-0.37265415549594083,-0.1466965285554056,0.07330316742082266,,,,,,,,,,,,,,,-0.9960317460317498,-0.07583417593527064,-0.14448100508523387,0.1697048611111267,0.17616372391654345,0.08869216636045185,,,,,,,,,,,,,,,-0.0023452336805675038,-0.0022016766117159874,0.00006592575112313402,,,,,,,,,,,,,,,,,,0.5,0.25806451612903225,0.14285714285714285,0.5833333333333334,296.62
